date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:50	19194/19194	---MCZ	200	added ('OK')	text/html	etag:W/%2269733848-4afa%22	https://bot.bizfly.vn/store_consulting.html?utm_source=Website&utm_medium=Trangchu&utm_campaign=trangdemo-bizchatai	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/store_consulting9c87.html	(from )
21:52:50	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2269733848-19%22	https://bot.bizfly.vn/robots.txt		(from )
21:52:51	8020/8020	---M--	200	added ('OK')	image/svg+xml	etag:%2269733848-1f54%22	https://bot.bizfly.vn/images/logo_BizflyChat.svg	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/images/logo_BizflyChat.svg	(from https://bot.bizfly.vn/store_consulting.html?utm_source=Website&utm_medium=Trangchu&utm_campaign=trangdemo-bizchatai)
21:52:51	13617/13617	---M--	200	added ('OK')	image/svg+xml	etag:%2269733848-3531%22	https://bot.bizfly.vn/images/logo-bizfly-vccorp.svg	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/images/logo-bizfly-vccorp.svg	(from https://bot.bizfly.vn/store_consulting.html?utm_source=Website&utm_medium=Trangchu&utm_campaign=trangdemo-bizchatai)
21:52:51	1829/1829	---MCZ	200	added ('OK')	text/html	etag:W/%226973388f-725%22	https://bot.bizfly.vn/chat_web_box/?id=2034&bot_id=72024&group_id=2219&project=a39b5f0a-6a91-47de-946b-34e706422482&email=&username=&name=&open=1&language_box_bizfly=vi&color_custom_bizfly=&is_formGPT=1&full_size=1	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/chat_web_box/index0f19.html	(from https://bot.bizfly.vn/store_consulting.html?utm_source=Website&utm_medium=Trangchu&utm_campaign=trangdemo-bizchatai)
21:52:53	3401/3401	---MCZ	200	added ('OK')	text/html	etag:W/%226973388f-d49%22	https://bot.bizfly.vn/currentSrc	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/currentSrc.html	(from https://bot.bizfly.vn/store_consulting.html?utm_source=Website&utm_medium=Trangchu&utm_campaign=trangdemo-bizchatai)
21:52:53	11132802/11132802	---M--	200	added ('OK')	image/png	etag:%2269733848-a9df82%22	https://bot.bizfly.vn/images/store_consulting.png	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/images/store_consulting.png	(from https://bot.bizfly.vn/store_consulting.html?utm_source=Website&utm_medium=Trangchu&utm_campaign=trangdemo-bizchatai)
21:52:54	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2269733848-10be%22	https://bot.bizfly.vn/favicon.ico	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/favicon.ico	(from https://bot.bizfly.vn/chat_web_box/?id=2034&bot_id=72024&group_id=2219&project=a39b5f0a-6a91-47de-946b-34e706422482&email=&username=&name=&open=1&language_box_bizfly=vi&color_custom_bizfly=&is_formGPT=1&full_size=1)
21:52:54	169472/169472	---MCZ	200	added ('OK')	application/javascript	etag:W/%226973388f-29600%22	https://bot.bizfly.vn/assets/chat_web_box.7f910a22.js	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/assets/chat_web_box.7f910a22.js	(from https://bot.bizfly.vn/chat_web_box/?id=2034&bot_id=72024&group_id=2219&project=a39b5f0a-6a91-47de-946b-34e706422482&email=&username=&name=&open=1&language_box_bizfly=vi&color_custom_bizfly=&is_formGPT=1&full_size=1)
21:52:55	3617/3617	---MCZ	200	added ('OK')	application/javascript	etag:W/%226973388f-e21%22	https://bot.bizfly.vn/assets/hmac-sha512.afd026d4.js	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/assets/hmac-sha512.afd026d4.js	(from https://bot.bizfly.vn/chat_web_box/?id=2034&bot_id=72024&group_id=2219&project=a39b5f0a-6a91-47de-946b-34e706422482&email=&username=&name=&open=1&language_box_bizfly=vi&color_custom_bizfly=&is_formGPT=1&full_size=1)
21:52:55	307490/307490	---MCZ	200	added ('OK')	application/javascript	etag:W/%226973388f-4b122%22	https://bot.bizfly.vn/assets/vendor_utils.73405f6d.js	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/assets/vendor_utils.73405f6d.js	(from https://bot.bizfly.vn/chat_web_box/?id=2034&bot_id=72024&group_id=2219&project=a39b5f0a-6a91-47de-946b-34e706422482&email=&username=&name=&open=1&language_box_bizfly=vi&color_custom_bizfly=&is_formGPT=1&full_size=1)
21:52:55	1045928/1045928	---MCZ	200	added ('OK')	application/javascript	etag:W/%226973388f-ff5a8%22	https://bot.bizfly.vn/assets/vendor_ui_core.d804937a.js	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/assets/vendor_ui_core.d804937a.js	(from https://bot.bizfly.vn/chat_web_box/?id=2034&bot_id=72024&group_id=2219&project=a39b5f0a-6a91-47de-946b-34e706422482&email=&username=&name=&open=1&language_box_bizfly=vi&color_custom_bizfly=&is_formGPT=1&full_size=1)
21:52:56	118838/118838	---MCZ	200	added ('OK')	application/javascript	etag:W/%226973388f-1d036%22	https://bot.bizfly.vn/assets/vendor_vue.37713104.js	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/assets/vendor_vue.37713104.js	(from https://bot.bizfly.vn/chat_web_box/?id=2034&bot_id=72024&group_id=2219&project=a39b5f0a-6a91-47de-946b-34e706422482&email=&username=&name=&open=1&language_box_bizfly=vi&color_custom_bizfly=&is_formGPT=1&full_size=1)
21:52:57	102195/102195	---MCZ	200	added ('OK')	application/javascript	etag:W/%226973388f-18f33%22	https://bot.bizfly.vn/assets/vendor_markdown.84127124.js	C:/Users/PC/OneDrive/Desktop/ChatBotAIV2/bot.bizfly.vn/assets/vendor_markdown.84127124.js	(from https://bot.bizfly.vn/chat_web_box/?id=2034&bot_id=72024&group_id=2219&project=a39b5f0a-6a91-47de-946b-34e706422482&email=&username=&name=&open=1&language_box_bizfly=vi&color_custom_bizfly=&is_formGPT=1&full_size=1)
